Gene	score_fdr_pos	score_tophalf_pos	score_pos	n_fdr_guides_pos	pval_pos	qval_pos	score_fdr_neg	score_tophalf_neg	score_neg	n_fdr_guides_neg	pval_neg	qval_neg	z_pos
DLG1_NR4A1	0.542594493188269	-1.75405906795352	-1.6997996186347	1	0.0212630548475719	0.604107013836015	3.9451616053365	4.45450601436063	6.42708681702888	16	5.46988417930222e-130	1.29744840876399e-129	1.75115006242307
EZH2_PTPRF	-0.0866252770848621	-1.69556750645277	-1.71289256186974	2	0.0231544156673442	0.645365658577372	3.04019244842063	3.23034467619975	4.75044090041006	16	2.94682748991649e-86	3.0742708656534e-86	1.72314954931623
CBLB_WWP2	-1.17598507198531	-1.243875466247	-1.71426949504113	4	0.0233613117475088	0.645365658577372	2.57960408488574	2.90498224844329	4.19478429088616	16	9.05715620631851e-74	9.11418670584669e-74	1.72020484585112
SOCS1_ZBTB7B	0.850714429232013	-1.8000762272973	-1.7150047843741	1	0.023472431070667	0.645365658577372	3.74869084538413	4.07090280814245	5.94524823083452	16	1.72450519166586e-116	2.78381298932425e-116	1.71863235918898
FGL2_TNFRSF14	-1.07752743063297	-1.28649367774351	-1.7175046499967	4	0.0238535502332802	0.648867318579759	2.79048257816157	3.16871456014909	4.56395584922988	16	5.91036261150753e-82	6.04028664973012e-82	1.71328615712621
GSK3B_NR4A2	-0.47208277958916	-1.63264329453318	-1.72705985045101	2	0.025358566678556	0.675744929929792	2.90111516623474	3.14270937599163	4.593266959109	16	1.26719939306385e-82	1.29973078542489e-82	1.69285144578924
ARG2_VSIR	-0.305412041862044	-1.66721565165645	-1.72829806002886	2	0.0255592942846059	0.675744929929792	3.2815731375369	3.52939260275073	5.17017917151918	16	2.36901997324091e-96	2.67324981093424e-96	1.6902034160154
DUSP1_MDM2	-0.757006052657913	-1.50165768257843	-1.7287594983758	3	0.025634438092761	0.675744929929792	3.28525700756851	3.81308404527634	5.45571254906059	16	1.52004557699904e-103	1.88038536061275e-103	1.68921658591543
NR4A3_VSIR	-0.507372740972075	-1.53046968737204	-1.73341878376087	4	0.026403602466818	0.685545345354375	3.28943864996304	3.96579138365455	5.61051070863606	16	1.4866279028263e-107	1.9954370328225e-107	1.67925225786855
TIGIT_TRAF6	0.125197849603794	-1.77312951522957	-1.73557016034844	3	0.0267652124289424	0.685545345354375	3.71582016877799	4.31987123774291	6.1777813221319	16	6.5469047185438e-123	1.26152489565309e-122	1.67465133298431
FOXP3_RIPOR2	0.749890641159969	-1.81082714548102	-1.73583808136503	1	0.0268105336470229	0.685545345354375	3.54537964054477	3.92436569793035	5.69705551820274	16	7.88315994396326e-110	1.11427528892836e-109	1.67407835822975
GSK3B_TBX21	-1.13958148665421	-1.28283878389446	-1.73867137855615	4	0.0272937447561543	0.687036009202487	2.44404223200714	2.80202698208808	4.02404809809165	16	3.92338979976851e-70	3.94034081618542e-70	1.66801908082273
DTX1_NCKAP1L	0.981868588630502	-1.93569851043535	-1.73932479270924	2	0.0274062076412412	0.687036009202487	3.59821791773841	4.06566302787701	5.86477198674622	16	2.61821002148949e-114	4.04273129525884e-114	1.6666216920745
DLG1_DOK1	3.02289458895167	-2.0447506226958	-1.74246116380063	1	0.0279514189697382	0.691115334988796	5.26511725072693	5.25637812592963	7.88893675129309	13	1.53864372620399e-175	3.2248459081177e-174	1.65991426210434
DGKA_PTPN12	-0.86711125726941	-1.31094753073881	-1.74450315937351	5	0.028311222251616	0.691115334988796	3.08168636593133	3.65547252931981	5.19631571228548	16	5.335066483928e-97	6.06031319387113e-97	1.65554725899616
PTPN3_TBX21	-0.827793285258143	-1.41514553849253	-1.74626285259578	4	0.0286243677342562	0.691115334988796	2.86794404400478	3.38882130217193	4.82279332417431	16	5.88702014688741e-88	6.19979840016108e-88	1.65178398650276
INPPL1_PTPN2	0.838699919379627	-1.83027655625139	-1.74640656431342	1	0.0286500686385656	0.691115334988796	3.82433494446597	4.17672598977338	6.08889346200636	15	1.95448360639014e-120	3.5219271187735e-120	1.65147664523035
